id,title,image
1,Halo Legends,https://www.shoutfactory.com/s3_images/images/4bad23cf-6f67-e711-9448-0ad9f5e1f797/HaloLegends.DVD.Cover.72dpi.jpg
2,Halo 4 Spartan Ops,https://zupimages.net/up/20/02/gis7.jpg
3,Halo Nightfall,https://images-eds-ssl.xboxlive.com/image?url=8Oaj9Ryq1G1_p3lLnXlsaZgGzAie6Mnu24_PawYuDYIoH77pJ.X5Z.MqQPibUVTcdEdO_pChm.PtVOoAYnIZO9xMbM4W8qOflOWNyhJvTUqHApZTEx0HLSsU9u2JGrBkFP6mcbnCpCv7QejUYm3p7gWmaVHQQyhtsYK3Dlm63_zs5R5Cb9ta8erD9m1sSIBTifI5n3Hbi0tOEoSMG.ere1OoYtLdAAXN8zRlymgLSx4-
